EVENT_ID,TYPE,AUTHOR,DATE,TIME,LAT,LON,DEPTH,CENTROID,AUTHOR,EX,MO,MW,EX,MRR,MTT,MPP,MRT,MTP,MPR,STRIKE,DIP,RAKE,STRIKE,DIP,RAKE,EX,T_VAL,T_PL,T_AZM,P_VAL,P_PL,P_AZM,N_VAL,N_PL,N_AZM
885762,fe,ISC,1958-12-25,08:05:41.05,-5.5900,151.3768,38.9,,ISC,,,,,,,,,,,105.23,65.61,95.32,272.53,24.93,78.45,,,68.95,25.75,,20.44,191.22,,4.84,283.03
882471,ke,ISC,1959-07-20,02:41:08.11,-5.7249,111.3872,500.0,,ISC,,,,,,,,,,,124.68,26.36,-79.53,293.03,64.11,-95.15,,,18.96,26.87,,70.44,192.10,,4.63,295.28
882856,ke,ISC,1959-09-10,05:35:11.66,-6.3592,155.0412,50.0,,ISC,,,,,,,,,,,152.41,65.33,102.56,304.32,27.50,64.67,,,67.27,85.86,,19.39,233.03,,11.40,327.10
17291533,ke,ISC,1962-03-21,22:57:54.37,-5.9376,112.9880,616.1,,ISC,,,,,,,,,,,75.35,84.35,-97.24,307.58,9.18,-38.13,,,38.94,171.93,,50.15,337.35,,7.21,76.07
874464,fe,ISC,1962-04-01,12:11:11.18,-4.1977,143.3827,83.9,,ISC,,,,,,,,,,,144.15,38.12,144.15,263.77,68.81,57.55,,,54.29,133.22,,17.50,17.21,,30.02,276.71
17293079,ke,ISC,1962-12-12,10:08:51.47,-4.8139,153.7042,94.7,,ISC,,,,,,,,,,,54.51,43.23,150.73,166.72,70.43,50.64,,,48.76,33.86,,16.16,284.56,,36.69,182.08
17293782,ke,ISC,1963-05-22,21:53:04.68,-8.2024,115.7297,35.0,,ISC,,,,,,,,,,,44.63,27.99,33.35,284.47,75.05,113.94,,,53.79,223.53,,26.23,355.82,,23.08,97.94
872961,ke,ISC,1963-08-22,19:52:24.19,-9.4728,158.4029,15.0,,ISC,,,,,,,,,,,131.18,47.63,88.65,313.18,42.39,91.48,,,87.20,21.25,,2.62,222.13,,1.00,132.09
869655,ke,GCMT,1964-03-21,03:42:25.60,-6.3800,128.0000,361.3,TRUE,GCMT,19,1.790,6.8,19,-0.030,-0.060,0.090,-1.350,1.160,0.380,91.00,88.00,-49.00,184.00,41.00,-177.00,19,1.580,31.00,149.00,-2.000,34.00,35.00,0.420,41.00,270.00
869058,ke,EVBIB,1964-04-24,05:56:11,-5.0700,144.2000,,,EVBIB,19,1.800,6.8,,,,,,,,,,,,,,,,,,,,,,,
865858,ke,GCMT,1964-07-08,11:55:50.10,-5.5800,129.8300,189.2,TRUE,GCMT,19,2.790,6.9,19,1.530,-2.450,0.930,1.800,0.480,-0.600,110.00,67.00,103.00,258.00,26.00,61.00,19,2.330,65.00,42.00,-3.250,21.00,190.00,0.920,12.00,285.00
865091,ke,ISC,1964-08-13,00:31:15.30,-5.5295,154.2666,388.1,,ISC,,,,,,,,,,,8.77,49.47,-93.57,194.24,40.66,-85.84,,,4.41,101.29,,84.82,249.59,,2.71,11.09
865091,ke,GCMT,1964-08-13,00:31:15.10,-6.1900,154.8100,384.5,TRUE,GCMT,19,3.350,7.0,19,-2.930,0.040,2.900,0.080,-1.480,-0.860,151.00,38.00,-99.00,343.00,52.00,-83.00,19,3.630,7.00,67.00,-3.060,81.00,287.00,-0.570,6.00,158.00
864133,ke,EVBIB,1964-09-04,10:34:15,-3.9000,131.4900,,,EVBIB,18,1.600,6.1,,,,,,,,,,,,,,,,,,,,,,,
863666,ke,GCMT,1964-10-18,12:32:34.10,-7.4800,123.9000,575.5,TRUE,GCMT,19,3.180,6.9,19,-3.040,2.080,0.960,-0.770,1.010,1.410,80.00,48.00,-60.00,219.00,50.00,-119.00,19,2.680,1.00,329.00,-3.680,68.00,61.00,1.000,22.00,239.00
863039,ke,GCMT,1964-11-25,09:24:09.90,-4.4700,121.7200,610.0,TRUE,GCMT,18,1.320,6.0,18,-0.250,-0.820,1.070,0.640,0.450,-0.450,233.00,57.00,-15.00,331.00,77.00,-146.00,18,1.240,13.00,98.00,-1.400,33.00,197.00,0.150,54.00,349.00
857305,ke,EVBIB,1965-05-31,11:38:32,-7.5300,128.6000,,,EVBIB,17,8.300,5.9,,,,,,,,,,,,,,,,,,,,,,,
855189,ke,GCMT,1965-07-06,18:36:50.40,-4.6200,155.0100,520.3,TRUE,GCMT,18,3.150,6.3,18,-1.830,1.760,0.070,2.580,-0.010,0.280,95.00,18.00,-80.00,265.00,73.00,-93.00,18,3.110,28.00,357.00,-3.200,62.00,170.00,0.080,3.00,266.00
854799,ke,ISC,1965-08-20,05:54:51.77,-5.7357,128.5516,334.7,,ISC,,,,,,,,,,,91.76,44.24,-1.74,183.01,88.79,-134.23,,,29.44,307.51,,31.44,57.69,,44.22,184.19
854799,ke,GCMT,1965-08-20,05:54:53.50,-5.7300,128.4600,339.3,TRUE,GCMT,19,1.450,6.7,19,-0.310,0.080,0.220,-0.270,0.820,1.140,79.00,37.00,-13.00,179.00,82.00,-126.00,19,1.340,28.00,297.00,-1.550,41.00,56.00,0.210,36.00,185.00
853760,ke,ISC,1965-09-11,06:53:00.83,-5.3810,152.9185,46.2,,ISC,,,,,,,,,,,5.79,31.38,-121.03,220.97,63.50,-72.54,,,16.75,298.17,,66.81,163.56,,15.57,32.98
852583,ke,GCMT,1965-11-21,10:32:01.00,-5.9800,130.4400,131.5,TRUE,GCMT,18,8.140,6.5,18,2.680,-3.060,0.380,1.280,2.220,7.700,103.00,19.00,18.00,357.00,84.00,108.00,18,9.780,48.00,286.00,-6.490,37.00,71.00,-3.280,18.00,175.00
851979,ke,ISC,1965-12-26,03:53:12.15,-5.2625,151.6518,79.3,,ISC,,,,,,,,,,,116.53,35.64,83.56,304.43,54.62,94.59,,,79.77,233.02,,9.51,31.14,,3.74,121.77
850037,ke,ISC,1966-02-09,07:18:50.26,-9.8451,116.3595,44.9,,ISC,,,,,,,,,,,161.94,33.92,77.78,356.57,56.94,98.10,,,76.52,291.87,,11.60,80.73,,6.78,172.13
850390,ke,ISC,1966-02-22,05:02:41.59,-5.4410,151.6029,55.5,,ISC,,,,,,,,,,,165.03,38.16,116.52,312.63,56.44,70.67,,,71.25,175.90,,9.50,56.36,,16.01,323.61
850390,ke,EVBIB,1966-02-22,05:02:43,-5.4100,151.5700,,,EVBIB,19,2.810,6.9,,,,,,,,,,,,,,,,,,,,,,,
846446,ke,ISC,1966-06-14,16:39:49.58,-5.3402,124.3873,625.6,,ISC,,,,,,,,,,,4.15,74.19,-170.78,271.62,81.13,-16.01,,,4.80,318.61,,17.56,227.09,,71.76,63.37
846755,ke,ISC,1966-06-22,20:29:06.37,-7.2318,124.5625,521.5,,ISC,,,,,,,,,,,153.67,51.93,-89.08,332.18,38.08,-91.17,,,6.93,243.02,,83.03,69.02,,0.72,333.10
846755,ke,GCMT,1966-06-22,20:29:14.10,-6.9700,124.5800,515.5,TRUE,GCMT,19,3.570,7.0,19,-2.550,-0.240,2.790,1.150,-1.380,1.520,186.00,61.00,-57.00,313.00,42.00,-135.00,19,3.510,10.00,253.00,-3.620,60.00,145.00,0.110,28.00,349.00
844607,ke,ISC,1966-08-17,19:54:11.77,-5.0262,125.1493,551.7,,ISC,,,,,,,,,,,160.81,72.86,99.01,312.51,19.30,63.06,,,61.13,84.07,,27.32,243.64,,8.61,338.13
845005,ke,ISC,1966-08-28,10:03:03.25,-4.6131,155.2262,503.7,,ISC,,,,,,,,,,,37.76,45.48,-120.85,258.18,52.26,-62.46,,,3.61,329.06,,68.22,229.97,,21.44,60.49
840923,ke,ISC,1966-12-23,15:50:23.13,-7.0819,148.2692,55.2,,ISC,,,,,,,,,,,81.10,24.47,73.43,279.21,66.60,97.40,,,67.57,203.01,,21.27,3.60,,6.79,96.26
840923,ke,EVBIB,1966-12-23,15:50:25,-7.1100,148.3100,,,EVBIB,19,1.120,6.6,,,,,,,,,,,,,,,,,,,,,,,
838473,ke,ISC,1967-02-02,18:18:18.69,-4.4202,153.7553,250.0,,ISC,,,,,,,,,,,104.81,18.52,-87.81,282.51,71.49,-90.73,,,26.49,13.09,,63.50,191.35,,0.69,282.74
838491,ke,ISC,1967-02-03,12:48:09.28,-5.5246,110.4291,543.0,,ISC,,,,,,,,,,,55.38,78.80,-139.42,315.93,50.35,-14.61,,,18.30,179.82,,36.06,283.75,,48.16,68.15
837953,ke,ISC,1967-03-18,19:15:38.10,-6.0777,146.3244,111.6,,ISC,,,,,,,,,,,94.89,82.01,-139.02,358.01,49.50,-10.53,,,21.16,219.81,,33.88,324.88,,48.38,103.98
837961,ke,ISC,1967-03-19,01:10:49.41,-6.7006,129.8013,84.1,,ISC,,,,,,,,,,,137.00,61.62,99.33,297.94,29.75,73.30,,,71.81,68.53,,16.13,220.15,,8.20,312.54
838174,ke,ISC,1967-03-24,09:00:20.18,-5.9581,112.2551,603.1,,ISC,,,,,,,,,,,138.01,25.11,-67.53,293.47,66.91,-100.15,,,21.29,31.15,,66.57,185.20,,9.33,297.48
838174,ke,GCMT,1967-03-24,09:00:23.10,-6.0900,112.0900,601.7,TRUE,GCMT,19,1.440,6.7,19,-0.730,0.810,-0.080,1.070,-0.070,-0.580,75.00,19.00,-127.00,294.00,75.00,-78.00,19,1.430,29.00,15.00,-1.450,59.00,221.00,0.020,12.00,111.00
838182,ke,ISC,1967-03-24,11:46:15.15,-5.9649,112.2846,612.3,,ISC,,,,,,,,,,,113.79,26.64,-98.48,303.26,63.68,-85.77,,,18.57,30.11,,71.01,222.49,,3.79,121.38
838363,ke,ISC,1967-03-30,02:08:04.00,-11.0697,115.3488,35.0,,ISC,,,,,,,,,,,15.74,78.56,-16.81,109.17,73.53,-168.07,,,3.45,63.04,,19.92,331.79,,69.76,162.47
836516,ke,ISC,1967-04-10,04:59:57.36,-7.3480,155.7912,50.1,,ISC,,,,,,,,,,,109.51,71.57,151.04,209.44,62.65,20.85,,,33.25,67.23,,5.82,161.06,,56.11,259.78
836974,ke,EVBIB,1967-04-21,08:14:23,-5.4500,126.7700,,,EVBIB,18,2.650,6.2,,,,,,,,,,,,,,,,,,,,,,,
835041,ke,ISC,1967-06-29,16:36:16.86,-7.2903,128.6513,129.6,,ISC,,,,,,,,,,,182.75,42.65,105.66,341.89,49.28,76.04,,,78.93,189.22,,3.37,81.73,,10.54,351.11
833911,ke,ISC,1967-07-30,13:35:15.67,-5.2626,153.4583,40.2,,ISC,,,,,,,,,,,88.80,74.94,15.61,354.65,74.94,164.39,,,21.56,311.73,,0.00,221.73,,68.44,131.72
831388,ke,EVBIB,1967-09-18,15:33:09,-5.9700,146.5900,,,EVBIB,17,5.600,5.8,,,,,,,,,,,,,,,,,,,,,,,
829998,ke,ISC,1967-10-04,17:21:22.38,-5.6877,153.9405,45.5,,ISC,,,,,,,,,,,126.08,60.88,106.07,275.45,32.92,63.58,,,69.67,70.36,,14.45,204.42,,13.99,298.10
829998,ke,EVBIB,1967-10-04,17:21:19,-5.6600,153.9200,,,EVBIB,19,2.170,6.8,,,,,,,,,,,,,,,,,,,,,,,
830257,ke,EVBIB,1967-10-12,18:31:43,-7.1500,129.8300,,,EVBIB,18,1.400,6.0,,,,,,,,,,,,,,,,,,,,,,,
829200,ke,ISC,1967-11-09,02:18:48.22,-7.1714,123.7702,581.6,,ISC,,,,,,,,,,,77.78,47.77,-77.27,239.21,43.76,-103.64,,,2.03,158.82,,80.39,56.73,,9.39,249.15
